chapter,chapter_name_no,chapter_name_en,bucket,basis
0,Identifikasjon av kjoretoyet,vehicle identification,administrative_or_other,"Plates and chassis-number identification, matches DVSA's own Identification of the vehicle section (administrative_or_other on the UK side). Not a vehicle-condition finding."
1,Bremseanlegg,braking system,mechanical,"Maps 1:1 to DVSA's Brakes section. On the UK side, once brake pads/discs/linings are pulled out as the section's only scheduled-wear items, the remainder (hydraulic/pneumatic system integrity, performance, mounting) is dominant (roughly 69% of UK Brakes-section real defects by volume). PKK reports this chapter as one number with no point-level split available in this phase's scope, so the same pad/disc-type minority (~31% on the UK side) stays folded into this chapter and cannot be purified the way the UK classification is. Documented as a limitation, not corrected: majority-rule mechanical, with a known wear-item minority."
2,Styring,steering,mechanical,"Maps 1:1 to DVSA's Steering section, which is close to 100% structural linkage/rack/column faults with no scheduled-wear analogue. Unambiguous."
3,Sikt,visibility,consumable,"Maps 1:1 to DVSA's Visibility section, where wiper and washer items alone are roughly 93% of real defects by volume. Unambiguous majority."
4,"Lykter, refleksinnretninger og elektrisk utstyr","lights, reflectors, electrical",consumable,"Maps 1:1 to DVSA's Lamps, reflectors and electrical equipment section, where bulb-type wear items (position/stop/indicator/plate lamps, headlamp aim) are roughly 90%+ of real defects by volume, against a minority of device/switch/wiring faults. Unambiguous majority."
5,"Aksler, hjul, dekk og hjuloppheng","axles, wheels, tyres, suspension",administrative_or_other,"Genuinely unresolvable at chapter granularity, not a guess: this ONE PKK chapter bundles three DVSA sections this project classifies OPPOSITELY -- Suspension (mechanical), Road Wheels (mechanical) and Tyres (consumable) -- in a roughly 62/38 mechanical/consumable split by UK real-defect volume. Unlike chapter 1 (a single system with an internal wear-part minority), this chapter combines physically distinct systems (suspension geometry vs tyre tread) that the UK hierarchy resolves into separate top-level sections. Forcing a single bucket here would materially contaminate whichever bucket it joined with roughly a third of the other bucket's signal, compromising the cross-country comparison specifically for this chapter. Excluded from both mechanical-only and consumable-only Norwegian rates, per the brief's explicit instruction to use the third bucket for genuinely mixed categories rather than force them."
6,Understell og understellsutstyr,chassis and chassis equipment,mechanical,"Maps 1:1 to DVSA's Body, chassis, structure section (the brief's own body-corrosion example), which is close to 100% structural/corrosion faults with no scheduled-wear analogue. Unambiguous."
7,Annet utstyr,other equipment,administrative_or_other,"No clean single-section DVSA analogue exists for this catch-all 'other equipment' chapter, and its contents cannot be characterised from the chapter-level data available in this phase's scope. Per the brief's explicit instruction ('if the hierarchy cannot resolve a high-volume category, say so and put it in a third bucket rather than guessing'), routed to administrative_or_other rather than assigned by assumption."
8,Skadevirkninger,"noise, exhaust/emissions nuisance",mechanical,"Maps 1:1 to DVSA's Noise, emissions and leaks section (near-identical name and scope), which is close to 100% catalyst/engine-management/fluid-seal faults with no scheduled-wear analogue. Unambiguous."
9,Tilleggskontroller for M2/M3 buss,bus-only supplementary checks,administrative_or_other,"Bus/coach-only, matches DVSA's Buses and coaches supplementary tests section; also already outside the PERSONBIL scope this project's Norwegian pipeline uses (57 non-zero occurrences across the full PERSONBIL scope per the Norway phase report). Not applicable to the passenger-car fleet this project ranks."
10,Forevisning for trafikkstasjon,administrative referral to the traffic station,administrative_or_other,"An administrative referral marker, matches DVSA's Identification/administrative bucket type. Not a vehicle-condition finding."
