dmr_make,dmr_model,alias_group,basis
MAZDA,2,MAZDA_2,"DMR splits Mazda's smallest model across two spellings, bare '2' and glued 'MAZDA2', both resolving to the same DVSA MAZDA/2 crosswalk target (313,689 tests) with identical n_nt_tests/pass-rate/repair-burden at every shared age band. Same car, not a body-style split -- confirmed same-car group from coverage_audit.md finding 1."
MAZDA,MAZDA2,MAZDA_2,"See MAZDA/2 row in this group -- same basis."
MAZDA,3,MAZDA_3,"Same pattern as Mazda 2: bare '3' and glued 'MAZDA3' both resolve to DVSA MAZDA/3 (265,879 tests), identical DVSA fields at every shared band. coverage_audit.md finding 1."
MAZDA,MAZDA3,MAZDA_3,"See MAZDA/3 row in this group -- same basis."
MERCEDES-BENZ,C,MB_C,"DMR carries the bare 'C' and the German 'C-Klasse' spelling for the same C-Class; both resolve to DVSA MERCEDES-BENZ/C (879,779 tests) via crosswalk_normalize.strip_klasse_suffix, identical DVSA fields at every shared band. coverage_audit.md finding 1."
MERCEDES-BENZ,C-Klasse,MB_C,"See MERCEDES-BENZ/C row in this group -- same basis."
MERCEDES-BENZ,E,MB_E,"Same pattern as the C-Class pair: bare 'E' and 'E-Klasse' both resolve to DVSA MERCEDES-BENZ/E (556,928 tests), identical DVSA fields at every shared band. coverage_audit.md finding 1."
MERCEDES-BENZ,E-Klasse,MB_E,"See MERCEDES-BENZ/E row in this group -- same basis."
RENAULT,CLIO,RENAULT_CLIO,"'CLIO' and the Danish 'Ny Clio' ('new Clio', DMR's label for the current generation at the time it was registered) both resolve to DVSA RENAULT/CLIO (848,688 tests) via crosswalk_normalize.strip_ny_prefix, identical DVSA fields at every shared band. Same nameplate, not a different car -- coverage_audit.md finding 1."
RENAULT,Ny Clio,RENAULT_CLIO,"See RENAULT/CLIO row in this group -- same basis."
TOYOTA,AYGO,TOYOTA_AYGO,"DMR carries three spellings for the Aygo -- bare 'AYGO', 'AYGO 3/5-DØRS' (3/5-door), and 'AYGO 5-DØRS' (5-door) -- and all three resolve to the same DVSA TOYOTA/AYGO target (625,248 tests) via lossy body-style-suffix stripping in the crosswalk, with identical DVSA fields at every shared band. The DØRS suffixes describe door count within the SAME hatchback body, not a genuinely different vehicle (contrast with the FABIA/FABIA COMBI hatch-vs-estate case, which is deliberately NOT merged). This is the pair the audit calls out by name: bracket 1 currently shows 'AYGO 3/5-DØRS' and 'AYGO 5-DØRS' as adjacent rows at the identical kr/year. coverage_audit.md finding 1."
TOYOTA,AYGO 3/5-DØRS,TOYOTA_AYGO,"See TOYOTA/AYGO row in this group -- same basis."
TOYOTA,AYGO 5-DØRS,TOYOTA_AYGO,"See TOYOTA/AYGO row in this group -- same basis."
TOYOTA,YARIS,TOYOTA_YARIS,"Same pattern as Aygo: bare 'YARIS' and 'YARIS 5-DØRS' both resolve to DVSA TOYOTA/YARIS (identical DVSA fields at every shared band), the door-count suffix does not denote a different vehicle. coverage_audit.md finding 1."
TOYOTA,YARIS 5-DØRS,TOYOTA_YARIS,"See TOYOTA/YARIS row in this group -- same basis."
FORD,FIESTA,FORD_FIESTA,"'FIESTA' and 'FIESTA 5 DØRS' both resolve to DVSA FORD/FIESTA (3,479,593 tests), identical DVSA fields at every shared band -- same reasoning as the Aygo/Yaris door-count suffix pairs. coverage_audit.md finding 1."
FORD,FIESTA 5 DØRS,FORD_FIESTA,"See FORD/FIESTA row in this group -- same basis."
FORD,FOCUS,FORD_FOCUS_NY,"'FOCUS' and the Danish 'NY Focus' ('new Focus') both resolve to DVSA FORD/FOCUS (2,291,752 tests) via strip_ny_prefix, identical DVSA fields on their one shared band (band 3). Distinct from the FOCUS/Focus case-only pair fix_case_duplicate_models.py's normalize_key already merges on its own -- this is a genuinely different spelling pair the normalize key does not catch. coverage_audit.md finding 1."
FORD,NY Focus,FORD_FOCUS_NY,"See FORD/FOCUS row in this group -- same basis."
