dmr_make,dmr_models,shared_dvsa_signature_bands,note
AUDI,A3; A3 CABRIOLET; A3 Limousine; A3 Sportback,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
FORD,FOCUS; FOCUS STATIONSVOGN; Focus; NY Focus,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
FORD,MONDEO; MONDEO STATIONCAR,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
OPEL,ASTRA; ASTRA SPORTS TOURER,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
RENAULT,MEGANE; MEGANE SPORT TOURER,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
SKODA,FABIA; FABIA COMBI,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
SKODA,OCTAVIA; OCTAVIA COMBI,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
SKODA,RAPID; RAPID SPACEBACK,2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
SKODA,SUPERB; SUPERB COMBI,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
TOYOTA,AVENSIS; AVENSIS STW,2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
TOYOTA,RAV4; RAV4 Plug in,1; 2,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
VOLKSWAGEN,GOLF; GOLF VARIANT; Golf Sportsvan,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
VOLKSWAGEN,PASSAT; PASSAT VARIANT,1; 2; 3; 4,"shares identical DVSA fields (n_nt_tests, pass rates, repair_burden_index) at the listed band(s) but is not in model_spelling_aliases.csv -- confirm by hand whether this is a spelling duplicate (add to the aliases file) or a genuinely different body style/variant sharing one UK test pool (leave split)."
